commune,id,nom,adresse,ien,niveau,descriptif,page,ENS.CL.MA_nbV,ENS.CL.ELE_nbV,T.R.S._nbV,ENS.CL.MA_nbSV,ENS.CL.ELE_nbSV,T.R.S._nbSV
TOULOUSE,*0312196U*RP+,E.E.PU VICTOR HUGO,3 IMPASSE THEODORE RICHARD TOULOUSE Midi-Pyrenees France,IEN:,E.E.PU,;1532 DECH DIR    DCOM SANS SPEC.100 %            1.00;2810 MAITRE SUP MSUP SANS SPEC.100 %    1.00     1.00,28,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312272B*RP+,E.E.PU ÉTIENNE BILLIÈRES,56 RUE JACQUES GAMELIN TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 4 TOULOUSE PONT NEUF,E.E.PU,;1534 DECH DIR    DCOM SANS SPEC.100 %   1.00;2814 MAITRE SUP MSUP SANS SPEC.100 %             1.00,28,NA,NA,NA,NA,NA,NA
TOURNEFEUILLE,*0312121M*,E.E.PU GEORGES LAPIERRE,RUE DE PROVENCE TOURNEFEUILLE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 16 TOURNEFEUILLE,E.E.PU,;1527 DECH DIR    DCOM SANS SPEC.100 %   1.00,28,NA,NA,NA,NA,NA,NA
TOURNEFEUILLE,*0312349K*,IEN    HAUTE GARONNE 16 TOURNE,67 CHEMIN DE FOURNAULIS TOURNEFEUILLE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 16 TOURNEFEUILLE,IEN,;1332 T.R.S.      9010 SANS SPEC.100 %           15.00;1351 ANIM.INF    AINF TEC RES ED100 %            1.00;2922 REFERENT    REF SANS SPEC.100 %    1.00             POSTE EN ASH,28,NA,NA,NA,NA,NA,15
TOURNEFEUILLE,*0312307P*,CLG    LEONARD DE VINCI,CHEMIN DE PAHIN TOURNEFEUILLE Midi-Pyrenees France,IEN:,CLG,;2990 ULIS        UPI OPTION D 100 %            1.00,29,NA,NA,NA,NA,NA,NA
TOURNEFEUILLE,*0310055S*,SEP    LPO M.LOUISE DISSARD FR,5 BOULEVARD ALAIN SAVARY TOURNEFEUILLE Midi-Pyrenees France,IEN:,SEP,;2966 ULIS        UPI OPTION D 100 %    1.00,29,NA,NA,NA,NA,NA,NA
TOURNEFEUILLE,*0312179A*,E.E.PU MIRABEAU,AVENUE DU MARQUISAT TOURNEFEUILLE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 16 TOURNEFEUILLE,E.E.PU,;1530 DECH DIR    DCOM SANS SPEC.100 %  1.00,29,NA,NA,NA,NA,NA,NA
VENERQUE,*0312873E*,IME    PÔLE ARSEAA,CENTRE GUILHEM VENERQUE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 21 TLSE ASH2,IME,;1501 CORPED      CPUE OPTION D 100 %           1.00,29,NA,NA,NA,NA,NA,NA
VILLEFRANCHE DE LAURAGAIS,*0311942T*,IEN    HAUTE GARONNE 9 VILLEFR,29 RUE DE LA REPUBLIQUE VILLEFRANCHE DE LAURAGAIS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 9 VILLEFRANCHE DE LAUI,IEN,;1329 T.R.S.      9010 SANS SPEC.100 %          1.00;1347 ANIM.INF    AINF TEC RES ED100 %  1.00;2918 REFERENT    REF SANS SPEC.100 %   1.00    1.00    POSTE EN ASH,29,NA,NA,NA,NA,NA,1
VILLEFRANCHE DE LAURAGAIS,*0311634H*,CLG    JULES FERRY,4 RUE JULES FERRY VILLEFRANCHE DE LAURAGAIS Midi-Pyrenees France,IEN:,CLG,;10000 ULIS         UPI OPTION D 100 %    1.00,29,NA,NA,NA,NA,NA,NA
VILLEFRANCHE DE LAURAGAIS,*0312163H*,E.E.PU JULES FERRY,8 RUE JULES FERRY VILLEFRANCHE DE LAURAGAIS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 9 VILLEFRANCHE DE LAUI,E.E.PU,;1528 DECH DIR    DCOM SANS SPEC.100 %          1.00,29,NA,NA,NA,NA,NA,NA
VILLEMUR SUR TARN,*0311067S*,E.E.PU ANATOLE FRANCE,23 ALLEES CHARLES DE GAULLE VILLEMUR SUR TARN Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 23 GRENADE,E.E.PU,;2754 ENS.IT.SPE ITIN PRIMO ARRI100 %    1.00,30,NA,NA,NA,NA,NA,NA
